title,budget,runtime,Budget_Per_Minute
"Four Rooms",4000000,98,40816
"Star Wars",11000000,121,90909
"Finding Nemo",94000000,100,940000
"Forrest Gump",55000000,142,387324
"American Beauty",15000000,122,122951
"Dancer in the Dark",12800000,140,91429
"The Fifth Element",90000000,126,714286
Metropolis,92620000,153,605359
"My Life Without Me",0,106,0
"Pirates of the Caribbean: The Curse of the Black Pearl",140000000,143,979021
"Kill Bill: Vol. 1",30000000,111,270270
Jarhead,72000000,125,576000
"Apocalypse Now",31500000,153,205882
Unforgiven,14000000,131,106870
"The Simpsons Movie",75000000,87,862069
"Eternal Sunshine of the Spotless Mind",20000000,108,185185
"Amores perros",2000000,154,12987
"Pirates of the Caribbean: Dead Man's Chest",200000000,151,1324503
"A History of Violence",32000000,96,333333
"2001: A Space Odyssey",10500000,149,70470
"8 Mile",41000000,110,372727
"Absolute Power",50000000,121,413223
Brazil,15000000,132,113636
"Walk the Line",28000000,136,205882
"Million Dollar Baby",30000000,132,227273
"Billy Elliot",5000000,110,45455
"American History X",20000000,119,168067
"War of the Worlds",132000000,116,1137931
"Mars Attacks!",70000000,106,660377
"Before Sunrise",2500000,105,23810
Memento,9000000,113,79646
"Blade Runner",28000000,117,239316
英雄,31000000,99,313131
"Before Sunset",2700000,80,33750
"Open Water",130000,79,1646
"Raiders of the Lost Ark",18000000,115,156522
"Indiana Jones and the Temple of Doom",28000000,118,237288
"Indiana Jones and the Last Crusade",48000000,127,377953
"Beverly Hills Cop",15000000,105,142857
Armageddon,140000000,151,927152
"Beverly Hills Cop II",20000000,100,200000
Gladiator,103000000,155,664516
"Lock, Stock and Two Smoking Barrels",1350000,105,12857
"Taxi Driver",1300000,114,11404
"Lola rennt",1530000,81,18889
"Back to the Future",19000000,116,163793
Predator,18000000,107,168224
Snatch,10000000,103,97087
Scarface,25000000,170,147059
"Pretty Woman",14000000,119,117647
"The Big Lebowski",15000000,117,128205
"Match Point",15000000,124,120968
"The Untouchables",25000000,119,210084
"Charlie and the Chocolate Factory",150000000,115,1304348
"The Lord of the Rings: The Fellowship of the Ring",93000000,178,522472
"The Lord of the Rings: The Two Towers",79000000,179,441341
"The Lord of the Rings: The Return of the King",94000000,201,467662
もののけ姫,26500000,134,197761
千と千尋の神隠し,15000000,125,120000
"O Brother, Where Art Thou?",26000000,106,245283
"Groundhog Day",14600000,101,144554
"Donnie Darko",6000000,113,53097
"Brokeback Mountain",14000000,134,104478
卧虎藏龙,17000000,120,141667
アキラ,8000000,124,64516
"Star Trek: The Motion Picture",35000000,132,265152
"Lost in Translation",4000000,102,39216
"Star Trek II: The Wrath of Khan",12000000,113,106195
"The Dark Knight",185000000,152,1217105
"Star Trek III: The Search for Spock",18000000,105,171429
"Ocean's Eleven",85000000,116,732759
"Edward Scissorhands",20000000,105,190476
"Ocean's Twelve",110000000,125,880000
"Back to the Future Part II",40000000,108,370370
K-PAX,48000000,120,400000
"Star Trek IV: The Voyage Home",24000000,119,201681
"Predator 2",35000000,108,324074
"28 Days Later",5000000,113,44248
"Star Trek V: The Final Frontier",30000000,107,280374
"20,000 Leagues Under the Sea",5000000,127,39370
"Star Trek VI: The Undiscovered Country",27000000,113,238938
Saw,1200000,103,11650
"The Fisher King",24000000,137,175182
"The Interpreter",80000000,128,625000
"Minority Report",102000000,145,703448
"The Good German",32000000,108,296296
"Jackie Brown",12000000,154,77922
"Lucky Number Slevin",27000000,110,245455
"Sin City",40000000,124,322581
"Sin City: A Dame to Kill For",65000000,102,637255
"Star Trek: Generations",38000000,118,322034
"Le fabuleux destin d'Amélie Poulain",10000000,122,81967
"Back to the Future Part III",40000000,118,338983
Braveheart,72000000,177,406780
"Star Trek: First Contact",46000000,111,414414
"Star Trek: Insurrection",70000000,103,679612
"Star Trek: Nemesis",60000000,117,512821
"Mean Streets",500000,110,4545
"Hotel Rwanda",17500000,121,144628
"Dead Poets Society",16400000,129,127132
"Saw III",10000000,108,92593
"Saw II",4000000,92,43478
"Indiana Jones and the Kingdom of the Crystal Skull",185000000,122,1516393
"The Terminator",6400000,108,59259
Volver,12899867,121,106610
Rebecca,1288000,130,9908
"Boys Don't Cry",2000000,118,16949
"The Outsiders",10000000,91,109890
Syriana,50000000,128,390625
"Stand by Me",8000000,89,89888
"The Godfather",6000000,175,34286
"Some Like It Hot",2883848,122,23638
"The Godfather: Part II",13000000,200,65000
"The Godfather: Part III",54000000,162,333333
"High Fidelity",30000000,113,265487
"About a Boy",27000000,101,267327
"Pocketful of Miracles",2900000,136,21324
Ghost,22000000,127,173228
"Willy Wonka & the Chocolate Factory",3000000,100,30000
"Live and Let Die",7000000,121,57851
"King Kong",207000000,187,1106952
"Oliver Twist",50000000,130,384615
"Cat on a Hot Tin Roof",3000000,108,27778
Batman,35000000,126,277778
"Batman Begins",150000000,140,1071429
"The Silence of the Lambs",19000000,119,159664
Underworld,22000000,121,181818
"The Shawshank Redemption",25000000,142,176056
Amadeus,18000000,160,112500
"Terminator 2: Judgment Day",100000000,137,729927
"The Apartment",3000000,125,24000
"Pirates of the Caribbean: At World's End",300000000,169,1775148
"High Noon",730000,85,8588
Casablanca,878000,102,8608
"Riding Giants",2600000,105,24762
"Dave Chappelle's Block Party",3000000,100,30000
"Terminator 3: Rise of the Machines",200000000,109,1834862
"Meet Joe Black",90000000,178,505618
"Ocean's Thirteen",85000000,122,696721
"Swimming Pool",7800000,102,76471
"Beverly Hills Cop III",50000000,104,480769
Festen,1300000,105,12381
"Bruce Almighty",80000000,101,792079
"Once Upon a Time in America",30000000,229,131004
Catwoman,100000000,104,961538
"True Romance",12500000,120,104167
Insomnia,46000000,118,389831
"Mambo Italiano",4361898,92,47412
"Mystic River",25000000,138,181159
"Snakes on a Plane",33000000,105,314286
Brother,12000000,114,105263
"Jurassic Park",63000000,127,496063
"The Lost World: Jurassic Park",73000000,129,565891
"Jurassic Park III",93000000,92,1010870
"Inspector Gadget",75000000,78,961538
Magnolia,37000000,188,196809
"C'era una volta il West",5000000,175,28571
"Good bye, Lenin!",4800000,121,39669
Sommersturm,2700000,98,27551
"Eyes Wide Shut",65000000,159,408805
七人の侍,2000000,207,9662
Alien,11000000,117,94017
"The Devil Wears Prada",35000000,109,321101
"Batman Returns",80000000,126,634921
"A Nightmare on Elm Street",1800000,91,19780
"Rain Man",25000000,133,187970
"Das Boot",14000000,149,93960
"Inside Man",45000000,129,348837
"12 Angry Men",350000,96,3646
