title,budget,genre_id,genre_name
"Snakes on a Plane",33000000,27,Horror
"Aliens vs Predator: Requiem",40000000,27,Horror
"Silent Hill",50000000,27,Horror
"The Ninth Gate",38000000,27,Horror
"Interview with the Vampire",60000000,27,Horror
"From Hell",35000000,27,Horror
"Gremlins 2: The New Batch",50000000,27,Horror
"Ghost Rider",110000000,27,Horror
"Resident Evil",33000000,27,Horror
"Resident Evil: Apocalypse",45000000,27,Horror
"The Reaping",40000000,27,Horror
"The Devil's Advocate",57000000,27,Horror
"The Mothman Prophecies",32000000,27,Horror
"What Lies Beneath",100000000,27,Horror
"The Addams Family",30000000,27,Horror
"I Still Know What You Did Last Summer",65000000,27,Horror
"Scream 3",40000000,27,Horror
"30 Days of Night",30000000,27,Horror
Gothika,40000000,27,Horror
Dracula,40000000,27,Horror
Dreamcatcher,68000000,27,Horror
"Freddy vs. Jason",30000000,27,Horror
"I Am Legend",150000000,27,Horror
Arachnophobia,31000000,27,Horror
"Resident Evil: Extinction",45000000,27,Horror
"The Wolfman",150000000,27,Horror
Alien³,50000000,27,Horror
"Alien: Resurrection",70000000,27,Horror
"Event Horizon",60000000,27,Horror
Doom,60000000,27,Horror
"The Cell",33000000,27,Horror
"Dark Water",30000000,27,Horror
"The Cave",30000000,27,Horror
"Mary Reilly",47000000,27,Horror
"The Island of Dr. Moreau",40000000,27,Horror
Species,35000000,27,Horror
Anaconda,45000000,27,Horror
"Deep Rising",45000000,27,Horror
"Red Dragon",78000000,27,Horror
FearDotCom,40000000,27,Horror
"The Order",35000000,27,Horror
"Ghost Ship",35000000,27,Horror
Pulse,38000000,27,Horror
"The Skeleton Key",43000000,27,Horror
"End of Days",100000000,27,Horror
Cursed,35000000,27,Horror
"House of Wax",40000000,27,Horror
디워,70000000,27,Horror
"The Ring Two",50000000,27,Horror
Spawn,40000000,27,Horror
Supernova,90000000,27,Horror
"Bless the Child",40000000,27,Horror
"The Relic",60000000,27,Horror
"Exorcist: The Beginning",80000000,27,Horror
"The Haunting",80000000,27,Horror
"Queen of the Damned",35000000,27,Horror
Mirrors,35000000,27,Horror
"Drag Me to Hell",30000000,27,Horror
Pandorum,33000000,27,Horror
"The Final Destination",40000000,27,Horror
"The Cabin in the Woods",30000000,27,Horror
"Resident Evil: Afterlife",60000000,27,Horror
"Blade II",54000000,27,Horror
Blade,45000000,27,Horror
"Blade: Trinity",65000000,27,Horror
Priest,60000000,27,Horror
"Scream 4",40000000,27,Horror
"The Rite",37000000,27,Horror
"Dracula Untold",70000000,27,Horror
"Red Riding Hood",42000000,27,Horror
"Underworld: Awakening",70000000,27,Horror
"Final Destination 5",47000000,27,Horror
"Hansel & Gretel: Witch Hunters",50000000,27,Horror
"The Darkest Hour",30000000,27,Horror
"Resident Evil: Retribution",65000000,27,Horror
"World War Z",200000000,27,Horror
"Abraham Lincoln: Vampire Hunter",69000000,27,Horror
"Warm Bodies",35000000,27,Horror
"I, Frankenstein",65000000,27,Horror
Bait,30000000,27,Horror
Carrie,30000000,27,Horror
"Deliver Us from Evil",30000000,27,Horror
Goosebumps,58000000,27,Horror
"The Conjuring 2",40000000,27,Horror
Grindhouse,67000000,27,Horror
Antibirth,35000000,27,Horror
